PuzzleID,UserID,GroupID,Score,RankType,Rank,LenHistory
997447,13935,61909,-94.844529,sid,103,0
997447,546199,0,-113.81188,bid,29,0
997447,519332,997144,-143.417195,gid,5,0
997447,371280,168077,-95.147823,sid,99,0
997447,545238,996650,-78.726482,gid,19,0
997418,29473,987632,-94.557482,uid,64,0
997418,542682,0,-125.653756,uid,34,0
997447,303499,987632,-139.553305,eid,17,0
997447,553803,0,-50.6195,bid,118,0
997418,53328,257965,-40.378149,uid,113,0
997447,548416,0,-77.125497,bid,78,0
997418,53328,257965,-40.378149,sid,99,0
997447,237800,0,-121.810152,bid,21,0
997447,290793,0,-91.396502,uid,117,0
997418,455069,993077,-142.229558,eid,17,0
997418,535923,0,-87.770982,sid,51,0
997418,202722,184617,-99.969734,gid,10,0
997447,494369,264543,-29.771516,gid,27,0
997447,448936,0,-46.744389,bid,132,0
997418,440721,0,46.445143,bid,99,0
997447,233638,0,-51.878052,bid,114,0
997447,341144,0,-65.841127,uid,171,0
997418,303499,987632,-157.897948,uid,5,0
997447,256927,0,-103.960184,bid,39,0
997418,546199,0,-36.557053,sid,105,0
997418,546199,0,-36.557053,uid,119,0
997418,202722,184617,-99.969734,eid,40,0
997418,464281,0,3.812231,bid,77,0
997447,352715,987632,-140.760932,eid,11,0
997418,452312,0,70.473682,uid,189,0
997447,534437,0,-41.944566,uid,230,0
997447,531793,0,-49.773538,bid,122,0
997418,236506,0,-115.012883,uid,41,0
997418,426239,985857,-128.506623,sid,11,0
997447,481982,991825,-59.806277,sid,179,0
997447,461060,0,-90.995527,bid,52,0
997418,278687,0,106.769579,bid,128,0
997447,537986,987632,-120.705234,uid,68,0
997447,421749,997144,-62.708805,uid,174,0
997447,531746,996318,-60.350466,bid,99,0
997447,267374,993077,-136.031008,uid,34,0
997447,553562,0,-49.675291,bid,123,0
997418,312900,991825,53.243672,sid,173,0
997418,260091,987632,-60.6744,sid,77,0
997447,371280,168077,-95.147823,uid,109,0
997418,481982,991825,-3.423352,sid,134,0
997447,252096,990445,-125.559088,uid,41,0
997418,360760,61909,-16.254774,sid,120,0
997418,504977,0,492.001979,sid,219,0
