dir,last_modified
/home/pierce/fetch/solution_997447,2017-08-23 20:58:55.275277000 +0000
/home/pierce/fetch/solution_997418,2016-10-22 01:35:58.155316000 +0000
/home/pierce/fetch/solution_2002572,2016-08-12 22:01:29.591316000 +0000
/home/pierce/fetch/solution_2002267,2016-10-21 21:47:29.439316000 +0000
/home/pierce/fetch/solution_2000961,2016-10-21 19:58:59.867316000 +0000
/home/pierce/fetch/solution_2003265,2017-03-17 21:30:22.271277000 +0000
/home/pierce/fetch/solution_1998748,2016-10-21 18:55:05.947316000 +0000
/home/pierce/fetch/solution_2003621,2017-04-21 01:37:27.587277000 +0000
/home/pierce/fetch/solution_2002158,2016-10-21 21:38:38.307316000 +0000
/home/pierce/fetch/solution_2000402,2016-10-21 19:17:52.487316000 +0000
/home/pierce/fetch/solution_1998847,2016-10-21 18:59:11.335316000 +0000
/home/pierce/fetch/solution_997765,2016-10-22 02:05:52.831316000 +0000
/home/pierce/fetch/solution_2003908,2017-08-09 21:57:59.255277000 +0000
/home/pierce/fetch/solution_1998526,2016-10-21 18:50:40.031316000 +0000
/home/pierce/fetch/solution_2003669,2017-08-23 21:27:11.815277000 +0000
/home/pierce/fetch/solution_2002766,2016-10-07 03:11:59.831316000 +0000
/home/pierce/fetch/solution_998107,2016-10-22 02:17:42.783316000 +0000
/home/pierce/fetch/solution_2001331,2016-10-21 20:30:23.423316000 +0000
/home/pierce/fetch/solution_996338,2016-10-21 22:31:35.907316000 +0000
/home/pierce/fetch/solution_997525,2016-10-22 02:00:28.943316000 +0000
/home/pierce/fetch/solution_998264,2016-10-22 02:24:44.811316000 +0000
/home/pierce/fetch/solution_997766,2016-10-22 02:05:52.947316000 +0000
/home/pierce/fetch/solution_997139,2016-10-22 01:31:29.411316000 +0000
/home/pierce/fetch/solution_1998925,2016-10-21 19:03:03.387316000 +0000
/home/pierce/fetch/solution_2002792,2016-10-18 01:50:41.711316000 +0000
/home/pierce/fetch/solution_2000983,2016-10-21 20:01:05.399316000 +0000
/home/pierce/fetch/solution_1998582,2016-10-21 18:51:38.231316000 +0000
/home/pierce/fetch/solution_2001779,2016-10-21 21:07:23.711316000 +0000
/home/pierce/fetch/solution_2003245,2017-03-17 13:15:56.555277000 +0000
/home/pierce/fetch/solution_2001404,2016-10-21 20:36:30.699316000 +0000
/home/pierce/fetch/solution_2003766,2017-05-26 23:57:07.967277000 +0000
/home/pierce/fetch/solution_2002100,2016-10-21 21:31:01.531316000 +0000
/home/pierce/fetch/solution_2003111,2017-03-15 02:43:19.883277000 +0000
/home/pierce/fetch/solution_997177,2016-10-22 01:32:27.651316000 +0000
/home/pierce/fetch/solution_2002669,2016-09-02 03:24:15.807316000 +0000
/home/pierce/fetch/solution_996749,2016-10-22 01:27:03.727316000 +0000
/home/pierce/fetch/solution_1998424,2016-10-21 18:48:49.827316000 +0000
/home/pierce/fetch/solution_2000284,2016-10-21 19:14:04.327316000 +0000
/home/pierce/fetch/solution_2003388,2017-08-31 08:32:26.759277000 +0000
/home/pierce/fetch/solution_2001723,2016-10-21 20:56:06.359316000 +0000
/home/pierce/fetch/solution_2000168,2016-10-21 19:04:48.655316000 +0000
/home/pierce/fetch/solution_997941,2016-10-22 02:12:34.079316000 +0000
/home/pierce/fetch/solution_2003534,2017-04-04 01:03:55.615277000 +0000
/home/pierce/fetch/solution_2001101,2016-10-21 20:13:15.291316000 +0000
/home/pierce/fetch/solution_2003270,2017-03-18 01:46:51.979277000 +0000
/home/pierce/fetch/solution_998093,2016-10-22 02:17:11.123316000 +0000
/home/pierce/fetch/solution_1998780,2016-10-21 18:57:32.319316000 +0000
/home/pierce/fetch/solution_2000481,2016-10-21 19:24:04.331316000 +0000
/home/pierce/fetch/solution_1998422,2016-10-21 18:48:35.395316000 +0000
/home/pierce/fetch/solution_997061,2016-10-22 01:30:31.459316000 +0000
/home/pierce/fetch/solution_2000340,2016-10-21 19:15:25.387316000 +0000
/home/pierce/fetch/solution_2001540,2016-10-21 20:45:22.507316000 +0000
/home/pierce/fetch/solution_2002553,2016-08-12 11:38:46.127316000 +0000
/home/pierce/fetch/solution_2000179,2016-10-21 19:04:56.003316000 +0000
/home/pierce/fetch/solution_2002990,2017-02-22 23:47:08.571277000 +0000
/home/pierce/fetch/solution_2000644,2016-10-21 19:37:23.747316000 +0000
/home/pierce/fetch/solution_2002110,2016-10-21 21:33:19.967316000 +0000
/home/pierce/fetch/solution_2001306,2016-10-21 20:26:41.999316000 +0000
/home/pierce/fetch/solution_1998548,2016-10-21 18:50:52.039316000 +0000
/home/pierce/fetch/solution_998442,2016-10-22 02:32:06.371316000 +0000
/home/pierce/fetch/solution_1998787,2016-10-21 18:57:48.827316000 +0000
/home/pierce/fetch/solution_996898,2016-10-22 01:29:03.695316000 +0000
/home/pierce/fetch/solution_2000230,2016-10-21 19:08:21.083316000 +0000
/home/pierce/fetch/solution_2003059,2017-08-29 00:49:50.003277000 +0000
/home/pierce/fetch/solution_2000597,2016-10-21 19:30:54.375316000 +0000
/home/pierce/fetch/solution_2003281,2017-03-18 04:25:54.403277000 +0000
/home/pierce/fetch/solution_2002093,2016-10-21 21:30:44.895316000 +0000
/home/pierce/fetch/solution_998326,2016-10-22 02:27:30.595316000 +0000
/home/pierce/fetch/solution_2002689,2016-09-13 00:59:49.263316000 +0000
/home/pierce/fetch/solution_997658,2016-10-22 02:03:25.783316000 +0000
/home/pierce/fetch/solution_997676,2016-10-22 02:03:48.227316000 +0000
/home/pierce/fetch/solution_997927,2016-10-22 02:12:05.415316000 +0000
/home/pierce/fetch/solution_998289,2016-10-22 02:25:53.907316000 +0000
/home/pierce/fetch/solution_998115,2016-10-22 02:17:58.747316000 +0000
/home/pierce/fetch/solution_2003078,2017-03-15 01:15:40.875277000 +0000
/home/pierce/fetch/solution_996511,2016-10-21 22:43:23.899316000 +0000
/home/pierce/fetch/solution_2003984,2017-08-25 23:21:16.859277000 +0000
/home/pierce/fetch/solution_2002565,2016-08-12 17:06:05.539316000 +0000
/home/pierce/fetch/solution_2003801,2017-06-12 23:00:13.927277000 +0000
/home/pierce/fetch/solution_2003939,2017-08-11 23:38:56.527277000 +0000
/home/pierce/fetch/solution_2001022,2016-10-21 20:02:49.819316000 +0000
/home/pierce/fetch/solution_2003015,2017-03-14 03:10:29.031277000 +0000
/home/pierce/fetch/solution_2000548,2016-10-21 19:28:14.399316000 +0000
/home/pierce/fetch/solution_1998493,2016-10-21 18:49:33.419316000 +0000
/home/pierce/fetch/solution_996331,2016-10-21 22:30:58.791316000 +0000
/home/pierce/fetch/solution_2003624,2017-04-22 02:00:10.759277000 +0000
/home/pierce/fetch/solution_998191,2016-10-22 02:21:16.951316000 +0000
/home/pierce/fetch/solution_2002475,2016-10-21 22:16:27.803316000 +0000
/home/pierce/fetch/solution_2001489,2016-10-21 20:42:00.807316000 +0000
/home/pierce/fetch/solution_2003126,2017-03-15 04:59:01.447277000 +0000
/home/pierce/fetch/solution_2002140,2016-10-21 21:35:57.015316000 +0000
/home/pierce/fetch/solution_997238,2016-10-22 01:33:02.091316000 +0000
